               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.020458,           0.0057208,            0.013036,              0.7652,             0.77287,             0.77841,             0.65114,            0.015517,           0.0051384,            0.010268,            0.005908,            0.005908,            0.005908
                 126,            0.020623,           0.0057958,            0.012858,             0.97072,             0.65593,             0.76978,             0.64563,            0.015284,           0.0051116,            0.010285,            0.005875,            0.005875,            0.005875
                 127,            0.020306,           0.0053782,            0.013294,             0.98192,             0.65302,             0.76926,             0.64081,            0.015827,           0.0051508,            0.010317,            0.005842,            0.005842,            0.005842
                 128,             0.02028,           0.0052596,            0.013569,             0.97445,             0.65326,             0.77166,             0.64818,            0.015114,           0.0051532,            0.010123,            0.005809,            0.005809,            0.005809
                 129,            0.020789,           0.0053685,            0.011686,             0.80141,             0.72215,             0.77788,             0.65569,            0.015439,           0.0050918,           0.0099123,            0.005776,            0.005776,            0.005776
                 130,            0.021085,           0.0054328,            0.011841,             0.77862,              0.7633,             0.77863,             0.64804,            0.015116,           0.0051531,           0.0098374,            0.005743,            0.005743,            0.005743
                 131,            0.020983,           0.0053914,            0.012684,             0.81009,             0.73929,             0.76667,             0.64329,            0.016027,            0.005181,           0.0097454,             0.00571,             0.00571,             0.00571
                 132,            0.020753,           0.0054884,            0.011536,             0.81321,             0.73873,             0.78089,             0.63793,            0.015555,           0.0051461,           0.0096457,            0.005677,            0.005677,            0.005677
                 133,            0.020276,           0.0054661,            0.012773,             0.79353,              0.7691,             0.77837,             0.65673,            0.015696,           0.0051576,           0.0096646,            0.005644,            0.005644,            0.005644
                 134,             0.02024,            0.005422,            0.011513,             0.79523,             0.76917,             0.77915,             0.65723,            0.014876,            0.005036,           0.0095279,            0.005611,            0.005611,            0.005611
                 135,            0.019837,           0.0053277,            0.012661,             0.80251,             0.76627,             0.79188,               0.662,            0.015969,           0.0052411,           0.0094158,            0.005578,            0.005578,            0.005578
                 136,            0.019666,           0.0054725,            0.012779,             0.78388,             0.77066,             0.78316,             0.66364,             0.01509,           0.0050717,           0.0095797,            0.005545,            0.005545,            0.005545
                 137,            0.020495,           0.0056603,            0.012289,             0.82069,             0.74875,             0.78779,             0.65916,             0.01503,           0.0050673,           0.0095725,            0.005512,            0.005512,            0.005512
                 138,            0.019924,            0.005467,            0.012257,             0.83658,             0.73469,             0.79979,             0.67231,            0.014466,           0.0050481,           0.0094249,            0.005479,            0.005479,            0.005479
                 139,            0.019762,           0.0055297,            0.011657,             0.81005,             0.75994,             0.80163,             0.67736,            0.014304,           0.0050015,           0.0092277,            0.005446,            0.005446,            0.005446
                 140,            0.019995,           0.0051386,            0.011463,              0.8087,             0.74618,             0.79618,             0.67074,            0.015263,           0.0050723,           0.0091152,            0.005413,            0.005413,            0.005413
                 141,            0.020436,           0.0055607,            0.012033,             0.79858,             0.75899,             0.80633,             0.67459,            0.015687,           0.0052402,           0.0087571,             0.00538,             0.00538,             0.00538
                 142,             0.02034,           0.0053904,            0.011236,             0.82111,             0.76318,             0.80457,             0.67978,            0.015164,           0.0051121,           0.0091131,            0.005347,            0.005347,            0.005347
                 143,            0.019845,            0.005294,            0.011437,             0.86015,                0.77,             0.80864,             0.66823,            0.014535,           0.0049632,           0.0088335,            0.005314,            0.005314,            0.005314
                 144,            0.020395,           0.0051817,            0.010957,             0.82201,             0.79939,             0.81092,             0.68242,            0.014862,           0.0050774,           0.0086804,            0.005281,            0.005281,            0.005281
                 145,             0.01948,           0.0052885,            0.011189,             0.82922,             0.78667,             0.81698,             0.69031,             0.01413,           0.0049999,           0.0084811,            0.005248,            0.005248,            0.005248
                 146,            0.019465,           0.0051868,            0.010939,             0.80135,             0.80266,             0.81172,             0.67426,            0.014793,           0.0049301,           0.0084902,            0.005215,            0.005215,            0.005215
                 147,            0.019484,           0.0051954,            0.011488,             0.80483,             0.79615,             0.82772,             0.69674,             0.01425,            0.004928,           0.0085844,            0.005182,            0.005182,            0.005182
                 148,            0.019573,           0.0051603,            0.011647,             0.83438,             0.79275,             0.83008,             0.68918,            0.014931,           0.0050377,           0.0086373,            0.005149,            0.005149,            0.005149
                 149,            0.020216,           0.0052433,            0.010461,             0.85316,             0.79233,             0.83327,             0.71106,            0.014635,           0.0050646,           0.0083621,            0.005116,            0.005116,            0.005116
                 150,            0.019621,           0.0050151,            0.010456,             0.85971,             0.79739,             0.84341,             0.72034,            0.014618,           0.0049282,           0.0081277,            0.005083,            0.005083,            0.005083
                 151,            0.019345,           0.0051709,            0.011037,             0.89018,             0.77515,             0.83611,             0.70494,            0.014775,           0.0050237,             0.00823,             0.00505,             0.00505,             0.00505
                 152,            0.019151,            0.005333,            0.010254,             0.85401,             0.77304,             0.83835,             0.71226,            0.014494,           0.0049326,           0.0078686,            0.005017,            0.005017,            0.005017
                 153,            0.019015,           0.0053069,           0.0093005,             0.89512,             0.77429,             0.85271,             0.71797,            0.014583,           0.0048599,           0.0078969,            0.004984,            0.004984,            0.004984
                 154,            0.019283,            0.005356,            0.010147,             0.88313,             0.80547,             0.85768,             0.73364,            0.014367,           0.0049227,           0.0078682,            0.004951,            0.004951,            0.004951
                 155,            0.018647,           0.0051571,            0.010114,             0.89558,             0.79257,             0.84712,             0.72534,            0.013891,           0.0048409,           0.0076948,            0.004918,            0.004918,            0.004918
                 156,            0.019071,           0.0054882,            0.011057,             0.88739,             0.80467,             0.85512,             0.73103,            0.013631,           0.0047864,           0.0077775,            0.004885,            0.004885,            0.004885
                 157,            0.018572,           0.0050923,            0.010265,              0.9042,             0.78529,             0.85687,             0.72396,            0.013465,           0.0048131,           0.0076013,            0.004852,            0.004852,            0.004852
                 158,            0.019129,            0.005278,            0.010685,             0.88472,             0.80122,             0.86049,             0.72361,            0.013587,           0.0048532,           0.0074887,            0.004819,            0.004819,            0.004819
                 159,            0.018329,           0.0051865,             0.01018,             0.89995,             0.78754,             0.86532,             0.74313,            0.014114,            0.004873,           0.0075525,            0.004786,            0.004786,            0.004786
                 160,            0.018993,           0.0051952,           0.0096955,             0.88488,             0.80015,             0.87041,             0.74703,            0.014234,           0.0049251,           0.0073916,            0.004753,            0.004753,            0.004753
